S.No.,Project Details and Address,Project Completion Date,Location of Site
20," - Construction of Stilt Floor + 3 Floors Residential Apartment Building with 24 dwelling units with Affordable Housing at ARG Nagar 1st Main Road and ARG Nagar 2nd Main Road, Zamin Pallavaram, Chennai comprised in S.No.154/6, T.S.Nos.103/1 & 103/2, Block No.19 of Zamin Pallavaram Village, Pallavaram Taluk, Chengalpattu District.",31.12.2025, Latitude-12§57?25.0?N; Longitude-80§10?16.3?E;
21," - Construction of Stilt + 3 Floors Residential Building with 12 Dwelling Units (Ground Floor + Third Floor) at Plot Nos.13A & 13B, Engineer Avenue, 5th Street, Raghava Nagar, Moovarasampattu, Chennai District comprised in Old S.No.52/4, Patta S.No.52/26 of Moovarasampattu Village.",30.12.2024, Latitude-12§57?56.0?N; Longitude-80§11?14.8?E;
22," - Construction of Registration of Developer share of Flat No.1 in 1st Floor, 7 in 4th Floor, 9, 10 in 5th Floor (4 Flats) in Stilt + 5 Floor Residential Building with 10 dwelling units at R.S.No.10(P), Sathamangalam Village, Madurai North Taluk, Madurai comprised in T.S.No.22/3, Block No.4, S.Ward No.XIX of Anna Nagar 1st Main Road, Anna Nagar, Madurai.",February 2025, Latitude-9.924706'N; Longitude-78.148562'E;
23," - Construction of Registration of Stilt Floor + 4 Floors + 5th Floor (Part) Residential Building with 27 Dwelling units availing Premium FSI at Plot No.60, 7th Avenue & Anna Colony, Besant Nagar, Chennai - 600090 comprised in Survey Nos.151/12 & 151/14, T.S.No.30, Block No.50 of Thiruvanmiyur Village within the limit of Greater Chennai Corporation.",31.12.2025,
24," - Construction of Registration of Stilt Floor + 3 Floors Residential Building with 12 Dwelling units (12.00m height) at New D.No.8, Old No.12, Plot No.485(W), 22nd Link Street, 3rd Main Road, Indira Nagar, Adyar, Chennai ? 600020 comprised in T.S.No.11, Block No.19, R.S.No.58/2 part & 58/4 part (as per Patta), S.No.58 part (as per Document) of Mylapore Village within the limit of Greater Chennai Corporation.",December 2024,
25," - Construction of Registration of Stilt Floor Part + Ground Floor Part + 1st Floor Residential Building with 04 Dwelling units comprised in S.No.212/1B of Kadambadi Village, Chengalpattu District.",17.10.2023,
26," - Construction of Registration of Stilt Floor + 5 Floors Residential Building (Affordable Housing) with 10 Dwelling Units at Door No.14, Mannai Narayanasamy Street, T.S.No.14 (Old Survey No.105/1A1 Part), Ward?AT, Block No.16 of K.Sathanur Village, Zone?IV, Trichy City Corporation.",11.10.2030,
27,,14.12.2024, Latitude-12§93?62.15?N; Longitude-80§19?47.55?E;
28," - Construction of Ground Floor + 1st Floor Residential Building with 26 dwelling units at Plot Nos.1, 2, 3, 4, 20, 21, 30, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130 & 131 comprised in S.Nos.176/1, 176/2A, 177/2, 187/3A, 188/1, 205/2 of Vengaivasal Village, Tambaram Taluk, Chengalpattu District.",30.11.2027, Latitude-13§03?53.9?N; Longitude-80§13?14.3?E;
29,,02.06.2027, Latitude-13§03?95.9?N; Longitude-80§24?87.9?E;
30,,September 2025, Latitude-13.104840'N; Longitude-80.248774'E;
31," - Construction of Stilt Floor + 4 Floors Residential Building with 12 dwelling units at Plot No.87, Old Door No.35, New Door No.17 (87), East Park Road, Shenoy Nagar, Chennai ? 600030 comprised in S.Nos.46/2pt, 57/1pt, T.S.No.14, Block No.11 of Aminjikarai Village, Aminjikarai Taluk, Chennai District.",September 2023, Latitude-13§07?N; Longitude-80§22'E;
32," - Construction of Registration of Residential Building consisting of Stilt Floor + 3 Floors with 09 Dwelling units at Plot No.127E, Old Door No.14, New Door No.16, Nehru Nagar, 1st Street, Adyar, Chennai ? 600020 comprised in T.S.No.5 & 16, Block No.14 of Pallipattu Village within the limit of Greater Chennai Corporation.",March 2023,
33,,December 2023, Latitude-12§99?N; Longitude-80§25?E;
34," - Construction of Registration of Builder share of Flat Nos.F1, F2, F3, F4, S1, S2 & S4 (Total 7 Flats) at Stilt Floor + 3 Floors Residential Building with 11 dwelling units at Door No.1/811, Pillaiyar Kovil Street, Thoraipakkam, Chennai comprised in S.No.89/4, as per Patta S.No.89/4B1A3 of Okkiyam Thoraipakkam Village, Chennai.",30.04.2024, Latitude-12§56?35.2?N; Longitude-80§14?11.0?E;
35,,01.12.2023, Latitude-12.997479'N; Longitude-80.202013'E;
36," - Construction of Stilt Floor + 3 Floors Residential building with 12 dwelling units at Plot No.54 & 55, 9m Wide Road, Metro Star City Annex Extension, Kundrathur, Chennai comprised in Old S.No.108/2 part, New S.No.108/2A1A of Kundrathur Village, Kundrathur Taluk, Kancheepuram District.",March 2024, Latitude-12§98?81.45?N; Longitude-80§11?02.50?E;
37," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 08 Dwelling units availing with Premium FSI at Door No.6, Plot No.B-106, 107, N Street, Kilpauk Garden Colony, Chennai ? 600010 comprised in T.S.No.81/77, Block No.7 of Egmore Village within the limit of Greater Chennai Corporation.",31.12.2024,
38," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Plot No.1888, Door No.36, I-Block, 18th Street and 25th Street, Thiruvalluvar Kudiruppu, Anna Nagar, Chennai ? 600040 comprised in S.No.134pt, Old S.No.134/2pt, T.S.No.210, Ward-?1?, Block No.42 of Villivakkam Village, Aminjikarai Taluk, Chennai District.",December 2026, Latitude-13§05?N; Longitude-80§12?E;
39," - Construction of Promoter?s share of Flats ? 5th Floor - Flat Nos.5A, 5B of Stilt Floor + 5 Floors Residential Building at Plot No.2, Door No.49(2), 8th Cross Street, Shenoy Nagar, Chennai ? 600030 comprised in S.No.11 part, T.S.No.88, Block No.8, Ward?1 of Periyakudal Village, Aminjikarai Taluk, Chennai District.",January 2024, Latitude-13§08?N; Longitude-80§22?E;
40," - Construction of Stilt Floor + 4 Floors Residential Building with 28 dwelling units comprised in S.Nos.490/1, 490/2, T.S.No.23/9, Ward-?A?, Block No.11 of Hosur Village, Hosur Taluk, Krishnagiri District.",31.12.2025, Latitude-12§44?N; Longitude-77§49?E;
41," - Construction of Registration of Block?A: Stilt + 5 Floors, Block?B: Ground + 1 Floor, Block?C: Ground + 1 Floor Residential Building with Total 104 dwelling units at Old No.14, New No.26, New Door No.8 comprised in S.No.86/1A of Perumattunallur Village, Vandalur Taluk, Chengalpattu District.",March 2027, Latitude-12.816006?N; Longitude-80.081699?E;
42," - Construction of Stilt Floor + 3 Floors Residential Building with 9 dwelling units at Plot No.8 & 9, Athipattu, Chennai comprised in S.No.443/5, as per Patta T.S No.3/51, Block No.10, Ward-G of Athipattu Village, Chennai.",31.12.2023, Latitude-13§08?71.83?N; Longitude-80§14?66.31?E;
43," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot Nos.11, 12, 13, Athipattu, Chennai comprised in Old S.Nos.443/5, 445/2B, 445/3, T.S.Nos.3/46, 3/47, 3/56, 3/57, Ward-?G?, Block No.10 of Athipattu Village, Ambattur Taluk, Chennai District.",31.03.2023, Latitude-13§08?71.83?N; Longitude-80§14?66.31?E;
44," - Construction of Stilt + 04 Floors Residential Apartment Building (12 Dwelling units) comprised in Old S.F.No.52/5Bpt, 52/1pt, New Ward-F, Block-09, T.S.Nos.157/3, 157/4, 169/2, 169/3 of Shanthi Nagar, Mitta Ayyamperumalpatti Village, Salem District.",25.02.2026, Latitude-11§42?07.0?N; Longitude-78§09?58.2?E;
45," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Plot Nos.19 & 20, Gayathri Nagar Main Road, Gayathri Nagar, Medavakkam, Chennai comprised in Old S.No.427/177B, New T.S.Nos.427/418, 427/419 of Medavakkam Village, Tambaram Taluk, Chengalpattu District.",June 2024, Latitude-12§91?N; Longitude-80§18?E;
46,,January 2024, Latitude-8§50?N; Longitude-78§09?E;
47," - Construction of Stilt Floor + 5 Floors with 10 dwelling units at Door No.28/15, Nanganallur 29th Street, Thillai Ganga Nagar, Chennai ? 600061 comprised in T.S.No.7, Block No.23, Ward?B of Nanganallur Village, Alandur Taluk, Chennai District.",23.02.2027, Latitude-12§59?N; Longitude-80§11?E;
48," - Construction of Landowner?s share of Flats - Ground Floor ? Flat Nos.1A, 1E, 1st Floor ? Flat Nos.2B, 2D, 2nd Floor ? Flat Nos.3D, 3C, 3B, 3rd Floor ? Flat Nos.4B, 4C, 4D, 4th Floor ? Flat Nos.PH1, PH2, PH3 of Basement Floor + Ground Floor + 3 Floors + 4th Floor part building (Gallery, Association Room, Indoor Games, Gym & Swimming Pool at Ground Floor) at Old Door No.15, New Door No.31, Kasturi Rangan Road and Poes Garden Road, Chennai ? 600018 comprised in R.S.Nos.1575/46 & 1576/2, Block No.32 of Mylapore Village, Mylapore Taluk, Chennai District.",31.05.2030, Latitude-13§2?N; Longitude-80§15?E;
49,,December 2024, Latitude-12ø52?05.9?N; Longitude-80ø11?43.1?E;
50,,22.04.2024, Latitude-12ø52?05.9?N; Longitude-80ø11?43.1?E;
51,,Completed, Latitude-13.0123008'N; Longitude-80.2086442'E;
52," - Construction of Registration of Stilt + 3 Floors with 12 Dwelling Units (Ground Floor + Third Floor) comprised in S.Nos.237 & 238pt, Old S.No.18 & 19, New Survey No.18/3E1A2 & 19/1C1A3 of Kannan Street, Sri Balaji Nagar, Pallikaranai, Chennai District.",30.12.2024, Latitude-12ø57?06.9?N; Longitude-80ø12?28.3?E;
53," - Construction of Stilt Floor + 4 Floors Residential building with 16 dwelling units at Ward No.71, Block No.8 comprised in T.S.No.277 of Coimbatore LPA.",14.09.2025, Latitude-11ø01?00.0?N; Longitude-76ø94?71.9?E;
54," - Construction of Stilt Floor + 5 Floors Residential Apartment Building with 09 dwelling units at T.S.No.1861, T.S.Ward No.K(11)M, Block No.45, Site No.8 of Kavetti Naidu Colony, Sanganoor Village, Dr.Radhakrishnan Road, Coimbatore District.",December 2026, Latitude-11ø02?21.45?N; Longitude-76ø95?70.56?E;
55," - Construction of Stilt Floor + 3 Floors with 12 dwelling units at Plot Nos.2 & 3, S.Nos.17/35 & 17/36, Old S.No.17/3 of Suba Sri Nagar Extension-II, Mugalivakkam, Chennai ? 600125.",30.06.2024, Latitude-12ø57?06.9?N; Longitude-80ø12?28.3?E;
56," - Construction of Stilt Floor + 7 Floors Residential Building with 25 dwelling units and Open Swimming Pool at Plot No.11, Sree Ayappa Industrial Complex, Natesan Main Road comprised in Old S.Nos.350/1, 351/A1, 351/A2, New S.Nos.350/5, 351A/1A2 of Okkiam Thoraipakkam Village, Sholinganallur Taluk, Chennai District.",Completed, Latitude-12ø55?N; Longitude-80ø13?E;
57," - Construction of Registration of High Rise Building consisting of 2 Blocks Namely Block-1 & 2 consisting of combined Stilt Floor + 1st Floor (Partly for Parking, Multipurpose Hall and Gym / Partly Residential) + 2nd to 13th Floor Residential Building with 125 dwelling units (Block:1 - 75 dwelling unit + Block:2 - 50 dwelling unit) at No.63, Rajiv Gandhi Road (Old Mahabalipuram Road), Semancheri, Chennai comprised in Old S.Nos.202/2, 3, 4 & 203/3A2, T.S.Nos.29 & 30 of Block-1, Ward-B, Semachery Village within the limit of Greater Chennai Corporation.",31.01.2028,
58," - Construction of Registration of Stilt Floor + Stilt Floor + 3 Floors with 12 dwelling at Door No.04, Block No.72, Plot No.C?692, T.S.No.19, 65th Street, Ashok Nagar, Chennai ? 600083.",Completed,
59," - Construction of Registration of Builder share of Flat Nos.4A to 4D, 5A to 5D, 1D & 3B (Total 10 Flats) and Stilt Floor + 5 Floors Affordable Housing Residential Building with 20 Dwelling units at Plot Nos.7& 7A, New Door No.14, Venkatesh Nagar Main Road, Virugambakkam, Chennai comprised in Old S.No.44/2A1A2pt, T.S.Nos.27/2 & 28/2, Block No.30 of Virugambakkam Village, Chennai.",June 2024, Latitude-13§03?15.2?N; Longitude-80§11?43.3?E;
60," - Construction of Stilt Floor + 3 Floors with 11 dwelling units at Plot Nos.7 & 8 comprised in S.No.150/2A1B of Mahalakshmi Nagar, Bharathiyar Salai, Madipakkam, Chennai ? 600091.",December 2024, Latitude-12§57?23.9?N; Longitude-80§11?49.4?E;
61," - Construction of Registration of Promoter share of Flat Nos.1, 2, 3, 4, 6, 7, 9, 13, 14 in 1st Floor, Flat Nos.1, 2, 3, 5, 6, 7, 8, 9, 10 in 2nd Floor, Flat Nos.2, 3, 6, 7, 8, 9, 10, 11, 12, 14 in 3rd Floor, Flat Nos.2, 3, 4, 5, 6, 7, 8, 9, 10, 14 in 4th Floor, Flat Nos.1, 2, 5, 6, 8, 9, 11, 12, 13, 14 in 5th Floor (Total 48 Flats) in Stilt Floor + 5 Floors Residential Building with 70 dwelling units comprised in S.No.386pt, T.S.No.109, Block No.05, Ward No.37 of Singanallur Village, Coimbatore District.",07.06.2027,
62," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Old Door No.134/135, New Door No.60/134, Gowdia Mutt Road & Avvai Shanmugam Salai, Royapettah, Chennai comprised in R.S.No.112/10, Block No.4 of Mylapore Village, Chennai.",31.01.2025,
63," - Construction of Registration of Basement Floor + Ground Floor + 2 Floors Residential Building with 17 dwelling units at Demolishing Existing Old Building at Door No.34/58 comprised in T.S.Nos.2937/2 & 1823/2, Ward No.B, Block No.74 of Subramaniapuram, Thimmarayasamudram Village, Tiruchirapalli District.",30.10.2027,
64," - Construction of Registration of Owners share of Flat Nos.C, D, E in 1st Floor & Flat Nos.C, D, E in 2nd Floor (Total 6 Flats) in Stilt + 4 Floors Residential Building with 18 dwelling units at Plot Nos.112 & 113 comprised in S.No.608/1 of Samarias Nagar, Periyakuppam Village, Tiruvallur Municipality, Tiruvallur District.",Completed,
65," - Construction of Stilt + 5 Floors Residential Building with 19 Dwelling units at D.No.116, Gengu Reddy Road, Egmore, Chennai - 600008 comprised in Old S.Nos.980 & 983, New R.S.No.790/2, Block No.37 of Egmore Village.",01.01.2029, Latitude-13§03?15.2?N; Longitude-80§11?43.3?E;
66," - Construction of Promoter?s share of Flats ? Flat Nos.2A, 3A, 3B of Stilt Floor + 3 Floors Residential Building at Door No.22, Ramachandra Street, T.Nagar, Chennai ? 600017 comprised in Old S.No.5262, T.S.No.7618/13, Block No.119 of T.Nagar Village, Guindy Taluk, Chennai District.",30.06.2025, Latitude-13§02?N; Longitude-80§13?E;
67,,31.05.2023, Latitude-13§6?N; Longitude-80§16?E;
68,,December 2027, Latitude-13.078222?N; Longitude-80.144677?E;
69," - Construction of Registration of Builders Share Flat Nos. Ground Floor Part (Office), A101, A102, A103, A108, A109, A111, A203, A204, A206, A207, A208, A209, A211, A301, A302, A303, A308, A309, A310, A311, A401, A402, A403, A404, A405, A406, A407, A408, A411, A501, A502, A503, A504, A505, A508, A509, A510, A511, B101, B102, B103, B104, B108, B109, B111, B204, B205, B206, B207, B208, B209, B210, B301, B302, B303, B308, B309, B310, B311, B401, B402, B403, B406, B407, B408, B409, B411, B501, B502, B503, B508, B509, B510, B511, Totally 74 Residential Flats + Ground Floor Part (Office) at Group Housing Developments with 2 Blocks ? Block-1: Stilt Floor Part (Parking) + Ground Floor Part (Office) + First Floor Part (Office) + First Floor (Residential) + 2nd to 5th Floor Residential Building with 55 Dwelling units with 18.00m height and Block-2: Stilt Floor + 5 Floors Residential Building with 55 Dwelling units with 18.00m height, Totally 110 Dwelling units at Ramapuram Main Road comprised in Survey Nos.55/3, 73/1, 73/14 of Ramapuram Village within the limit of Greater Chennai Corporation.",31.01.2026,
